LEARN @ LVL,NAME,TYPE,RANGE,TARGET,CAST s,CD s,DURRATION s,DESCR,MP,SP COST,REPLACES,RACE,Comment
,,,,,,,,,,,,,----------------------------Anti magic----------------------------
40,Anti magic,Passive,0,self,0,0,0,"magic def +43, mRes +15%",0,36k,[]
44,Anti magic,Passive,0,self,0,0,0,"magic def +49, mRes +15%",0,43k,[]
48,Anti magic,Passive,0,self,0,0,0,"magic def +56, mRes +15%",0,64k,[]
52,Anti magic,Passive,0,self,0,0,0,"magic def +63, mRes +20%",0,74k,[]
56,Anti magic,Passive,0,self,0,0,0,"magic def +70, mRes +20%",0,81k,[]
58,Anti magic,Passive,0,self,0,0,0,"magic def +74, mRes +20%",0,88k,[]
60,Anti magic,Passive,0,self,0,0,0,"magic def +78, mRes +20%",0,120k,[]
62,Anti magic,Passive,0,self,0,0,0,"magic def +82, mRes +20%",0,170k,[]
64,Anti magic,Passive,0,self,0,0,0,"magic def +86, mRes +20%",0,190k,[]
66,Anti magic,Passive,0,self,0,0,0,"magic def +91, mRes +25%",0,280k,[]
68,Anti magic,Passive,0,self,0,0,0,"magic def +95, mRes +25%",0,320k,[]
70,Anti magic,Passive,0,self,0,0,0,"magic def +99, mRes +25%",0,390k,[]
72,Anti magic,Passive,0,self,0,0,0,"magic def +104, mRes +25%",0,650k,[]
74,Anti magic,Passive,0,self,0,0,0,"magic def +108, mRes +25%",0,880k,[]
,,,,,,,,,,,,,-----------------------Mage Armor Mastery-----------------------
40,Mage Armor Mastery,Passive,0,self,0,0,0,"Robe: mpReg x1.2, pDef +39, maxMP +70; mpWhenRestored +33%",0,36k,[Robe Armor Mastery]
44,Mage Armor Mastery,Passive,0,self,0,0,0,"Robe: mpReg x1.2, pDef +44, maxMP +70; mpWhenRestored +35%",0,43k,[Robe Armor Mastery]
48,Mage Armor Mastery,Passive,0,self,0,0,0,"Robe: mpReg x1.2, pDef +50, maxMP +100; mpWhenRestored +37%",0,64k,[Robe Armor Mastery]
52,Mage Armor Mastery,Passive,0,self,0,0,0,"Robe: mpReg x1.2, pDef +50, maxMP +100; mpWhenRestored +40%",0,74k,[Robe Armor Mastery]
56,Mage Armor Mastery,Passive,0,self,0,0,0,"Robe: mpReg x1.2, pDef +53, maxMP +140; mpWhenRestored +43%",0,81k,[Robe Armor Mastery]
58,Mage Armor Mastery,Passive,0,self,0,0,0,"Robe: mpReg x1.2, pDef +56, maxMP +140; mpWhenRestored +45%",0,88k,[Robe Armor Mastery]
60,Mage Armor Mastery,Passive,0,self,0,0,0,"Robe: mpReg x1.2, pDef +58, maxMP +150; mpWhenRestored +47%",0,120k,[Robe Armor Mastery]
62,Mage Armor Mastery,Passive,0,self,0,0,0,"Robe: mpReg x1.2, pDef +64, maxMP +150; mpWhenRestored +50%",0,170k,[Robe Armor Mastery]
64,Mage Armor Mastery,Passive,0,self,0,0,0,"Robe: mpReg x1.2, pDef +68, maxMP +150; mpWhenRestored +53%",0,190k,[Robe Armor Mastery]
